Año,Trimestre,Base Monetaria ,M1,M2,Inflacion,tasa_interes,Tipo_cambio
2010,T2,578267641.3333334,1518498340.993333,4048658926.92,0.16,0.16,12.602416923076923
2010,T3,588854980.0,1560516396.3466666,4172236386.42,0.2233333333333333,0.2233333333333333,12.727942424242425
2010,T4,629714351.3333334,1595051764.8333333,4261953801.343333,0.2866666666666667,0.2866666666666667,12.479300000000004
2011,T1,640341645.3333334,1761328617.0,4438416099.5633335,0.3866666666666667,0.3866666666666667,12.130768852459017
2011,T2,639501431.3333334,1734119146.8666668,4463900359.173333,0.15,0.15,11.971817460317462
2011,T3,641410698.3333334,1777020388.9666665,4567347262.766667,0.20333333333333334,0.20333333333333334,12.444304615384615
2011,T4,696842644.6666666,1878285177.3133333,4713325340.796666,0.36333333333333334,0.36333333333333334,13.163396825396825
2012,T1,719995486.0,1998872929.7866669,4963944663.336666,0.37333333333333335,0.37333333333333335,12.987930645161292
2012,T2,741340866.0,2014547971.6833334,5048924305.849999,0.21333333333333335,0.21333333333333335,13.49259206349207
2012,T3,737958025.3333334,2071625898.7633333,5109319646.066667,0.23666666666666666,0.23666666666666666,13.133496875
2012,T4,781620756.6666666,2087628110.3266666,5156289468.830001,0.13333333333333333,0.13333333333333333,13.059465079365076
2013,T1,789648824.3333334,2201859601.7966666,5299341484.23,0.41,0.41,12.703037288135594
2013,T2,770024332.6666666,2162721857.066667,5310684426.513333,0.1366666666666667,0.1366666666666667,12.667812307692309
2013,T3,769530429.0,2219557131.3033333,5514732157.073334,0.14666666666666667,0.14666666666666667,12.817279365079365
2013,T4,839798951.6666666,2268334275.2666664,5611492302.543334,0.22,0.22,12.88728125
2014,T1,863855649.0,2467783423.6666665,5871096669.419999,0.4466666666666666,0.4466666666666666,13.249590322580652
2014,T2,874854349.0,2465050794.36,5936866638.133334,0.19666666666666666,0.19666666666666666,13.109883870967739
2014,T3,885532354.3333334,2527060743.29,6098672189.936667,0.22999999999999998,0.22999999999999998,13.169687301587304
2014,T4,972147779.6666666,2628888328.646667,6161918923.68,0.18666666666666668,0.18666666666666668,13.673756249999999
2015,T1,1038144684.0,2877677329.64,6445737470.123333,0.19000000000000003,0.19000000000000003,15.291396551724132
2015,T2,1052892382.0,2916082951.1966667,6477082734.41,0.16333333333333333,0.16333333333333333,15.495592187500002
